Serial Number,PMID,Journal/Book,Publication year,Title,DOI,Citation,Authors,Keywords flagged,Self-reported study aim,Study category,Study location,,,Study population,Pathogen,Programming language,Population size,Age,Sex,Race/ethnicity,Income,Vaccination,Screening and/or testing,Masking,Contact tracing,School closure,Social distancing
67,34446011,BMC Med,2021,Interventions to control nosocomial transmission of SARS-CoV-2: a modelling study,10.1186/s12916-021-02060-y,"Pham TM, Tahir H, Van De Wijgert JHHM, et al. Interventions to control nosocomial transmission of SARS-CoV-2: a modelling study. BMC Med. 2021;19(1):211. doi:10.1186/s12916-021-02060-y","Pham TM, Tahir H, van de Wijgert JHHM, Van der Roest BR, Ellerbroek P, Bonten MJM, Bootsma MCJ, Kretzschmar ME.","transmissible, transmission","evaluate the effectiveness of various interventions, including PPE use, healthcare worker screening, contact tracing, and cohorting, in reducing SARS-CoV-2 transmission",Intervention Impact Assessment,Netherlands,,Netherlands,Hospital or Healthcare Facility,SARS-CoV-2,Other/Unknown,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
68,37329208,Am J Ind Med,2023,Facility design and worker justice: COVID-19 transmission in meatpacking plants,10.1002/ajim.23510,"Lou J, Borjigin S, Tang C, Saadat Y, Hu M, Niemeier DA. Facility design and worker justice: COVID‐19 transmission in meatpacking plants. American J Industrial Med. 2023;66(9):713-727. doi:10.1002/ajim.23510","Lou J, Borjigin S, Tang C, Saadat Y, Hu M, Niemeier DA.","agent-based modeling, simulate",assess the spread of COVID-19 in meatpacking plants and the effectiveness of mitigation measures,Intervention Impact Assessment,US,Iowa,US,Workplace,SARS-CoV-2,NetLogo,200,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
69,34073465,Int J Environ Res Public Health,2021,Matrix-Based Formulation of Heterogeneous Individual-Based Models of Infectious Diseases: Using SARS Epidemic as a Case Study,10.3390/ijerph18115716,Duan W. Matrix-Based Formulation of Heterogeneous Individual-Based Models of Infectious Diseases: Using SARS Epidemic as a Case Study. IJERPH. 2021;18(11):5716. doi:10.3390/ijerph18115716,Duan W.,individual-based epidemic models,develop a matrix-based formulation of individual-based epidemic models to better capture population heterogeneity and reduce computational complexity,Understanding Epidemic Spread,,,Theoretical,Theoretical,Other corona viruses,Other/Unknown,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
70,37919389,Sci Rep,2023,Evaluation of COVID-19 intervention policies in South Korea using the stochastic individual-based model,10.1038/s41598-023-46277-8,"Chae MK, Hwang DU, Nah K, Son WS. Evaluation of COVID-19 intervention policies in South Korea using the stochastic individual-based model. Sci Rep. 2023;13(1):18945. doi:10.1038/s41598-023-46277-8","Chae MK, Hwang DU, Nah K, Son WS.","individual-based model, simulate",analyze the effectiveness of intervention policies during the COVID-19 pandemic and simulate the spread of the virus and assess policy impacts,Intervention Impact Assessment,South Korea,,South Korea,General,SARS-CoV-2,Other/Unknown,51765522,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
71,35095095,J Expo Sci Environ Epidemiol,2022,Assessment of the COVID-19 infection risk at a workplace through stochastic microexposure modeling,10.1038/s41370-022-00411-2,"Vecherin S, Chang D, Wells E, et al. Assessment of the COVID-19 infection risk at a workplace through stochastic microexposure modeling. J Expo Sci Environ Epidemiol. 2022;32(5):712-719. doi:10.1038/s41370-022-00411-2","Vecherin S, Chang D, Wells E, Trump B, Meyer A, Desmond J, Dunn K, Kitsak M, Linkov I.","pandemic, infection, model",develop a model for assessing COVID-19 infection risks and evaluating workplace policies,"Intervention Impact Assessment, Understanding Epidemic Spread","US, Seoul (South Korea)",,"US, South Korea",Workplace,SARS-CoV-2,Other/Unknown,200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
72,35945513,BMC Infect Dis,2022,Could widespread use of antiviral treatment curb the COVID-19 pandemic? A modeling study,10.1186/s12879-022-07639-1,"Matrajt L, Brown ER, Cohen MS, Dimitrov D, Janes H. Could widespread use of antiviral treatment curb the COVID-19 pandemic? A modeling study. BMC Infect Dis. 2022;22(1):683. doi:10.1186/s12879-022-07639-1","Matrajt L, Brown ER, Cohen MS, Dimitrov D, Janes H.","agent-based, model","assess the potential impact of antiviral treatments on reducing COVID-19 hospitalizations, deaths, and transmission, and to evaluate the combined effects of antiviral treatments and vaccination","Intervention Impact Assessment, Understanding Epidemic Spread","Kenya, Mexico, US, Belgium",,"Kenya, Mexico, US, Belgium",General,SARS-CoV-2,Python,5.00E+05,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
73,32150536,PLoS Comput Biol,2020,Detecting critical slowing down in high-dimensional epidemiological systems,10.1371/journal.pcbi.1007679,"Brett T, Ajelli M, Liu QH, et al. Detecting critical slowing down in high-dimensional epidemiological systems. Pitzer VE, ed. PLoS Comput Biol. 2020;16(3):e1007679. doi:10.1371/journal.pcbi.1007679","Brett T, Ajelli M, Liu QH, Krauland MG, Grefenstette JJ, van Panhuis WG, Vespignani A, Drake JM, Rohani P.","diseases, epidemiological models, epidemic",evaluate if critical slowing down (CSD) and early-warning signals can predict disease re-emergence across complex epidemiological models,"Understanding Epidemic Spread, Intervention Impact Assessment","Allegheny County (PA, US), Italy",Pennsylvania,"US, Italy",General,Vaccine preventable respiratory viruses,C Family,1200000,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
74,33303516,BMJ Glob Health,2020,Modelling interventions to control COVID-19 outbreaks in a refugee camp,10.1136/bmjgh-2020-003727,"Gilman RT, Mahroof-Shaffi S, Harkensee C, Chamberlain AT. Modelling interventions to control COVID-19 outbreaks in a refugee camp. BMJ Glob Health. 2020;5(12):e003727. doi:10.1136/bmjgh-2020-003727","Gilman RT, Mahroof-Shaffi S, Harkensee C, Chamberlain AT.","infected, infection, epidemics, agent-based models",evaluate the effectiveness of feasible non-pharmaceutical interventions in controlling the spread of COVID-19 in refugee camps,Intervention Impact Assessment,Lesbos (Greece),,Greece,Vulnerable/Underserved,SARS-CoV-2,Other/Unknown,20000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
75,34581878,J Med Syst,2021,An Agent-based Decision Support for a Vaccination Campaign,10.1007/s10916-021-01772-1,"Sulis E, Terna P. An Agent-based Decision Support for a Vaccination Campaign. J Med Syst. 2021;45(11):97. doi:10.1007/s10916-021-01772-1","Sulis E, Terna P.","agent-based model, multi-agent, modeling","explore COVID-19 diffusion and evaluate vaccination strategies, incorporating artificial intelligence to enhance decision-making in public healthcare policies","Understanding Epidemic Spread, Intervention Impact Assessment",Piedmont (Italy),,Italy,General,SARS-CoV-2,NetLogo,4270,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
76,36074818,Proc Natl Acad Sci U S A,2022,Simulating respiratory disease transmission within and between classrooms to assess pandemic management strategies at schools,10.1073/pnas.2203019119,"Endo (遠藤彰) A, CMMID COVID-19 Working Group, Uchida (内田満夫) M, et al. Simulating respiratory disease transmission within and between classrooms to assess pandemic management strategies at schools. Proc Natl Acad Sci USA. 2022;119(37):e2203019119. doi:10.1073/pnas.2203019119","Endo 遠藤彰 A; CMMID COVID-19 Working Group; Uchida 内田満夫 M, Liu 刘扬 Y, Atkins KE, Kucharski AJ, Funk S.","disease, pandemics, infection","assess the effectiveness of various school-based interventions for controlling respiratory disease outbreaks, that accounts for contact patterns within schools",Intervention Impact Assessment,Matsumoto City (Japan),,Japan,University/School,SARS-CoV-2,Julia,10000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
77,32647225,Sci Rep,2020,How the individual human mobility spatio-temporally shapes the disease transmission dynamics,10.1038/s41598-020-68230-9,"Changruenngam S, Bicout DJ, Modchang C. How the individual human mobility spatio-temporally shapes the disease transmission dynamics. Sci Rep. 2020;10(1):11325. doi:10.1038/s41598-020-68230-9","Changruenngam S, Bicout DJ, Modchang C.","epidemics, disease, individual-based model, model",examine how human mobility influences the spread of infectious diseases to better understand and forecast geo-temporal patterns of epidemic propagation,"Understanding Epidemic Spread, Forecasting","Martinique, Belgium",,"France, Belgium",General,Influenza Virus,MATLAB,11250658,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78,33735290,PLoS One,2021,Impact of mobility restriction in COVID-19 superspreading events using agent-based model,10.1371/journal.pone.0248708,"Lima LL, Atman APF. Impact of mobility restriction in COVID-19 superspreading events using agent-based model. Braunstein LA, ed. PLoS ONE. 2021;16(3):e0248708. doi:10.1371/journal.pone.0248708","Lima LL, Atman APF.","epidemiological modeling, agent-based models, agent","simulate COVID-19 transmission, specifically analyzing the role of superspreaders and the impact of mobility restrictions and protective equipment on infection dynamics","Intervention Impact Assessment, Understanding Epidemic Spread",,,Theoretical,Theoretical,SARS-CoV-2,Other/Unknown,10000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
79,37196023,PLoS One,2023,Monitoring and responding to emerging infectious diseases in a university setting: A case study using COVID-19,10.1371/journal.pone.0280979,"Soda KJ, Chen X, Feinn R, Hill DR. Monitoring and responding to emerging infectious diseases in a university setting: A case study using COVID-19. Rumain BT, ed. PLoS ONE. 2023;18(5):e0280979. doi:10.1371/journal.pone.0280979","Soda KJ, Chen X, Feinn R, Hill DR.","infectious diseases, disease","assess the effectiveness of interventions like dedensification, universal masking, surveillance testing, and symptom monitoring on controlling campus infections",Intervention Impact Assessment,"New Haven County (Connecticut, US)",Connecticut,US,University/School,Generic respiratory viruses,Python,7425,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
80,36540805,PeerJ,2022,"Using a real-world network to model the trade-off between stay-at-home restriction, vaccination, social distancing and working hours on COVID-19 dynamics",10.7717/peerj.14353,"Nashebi R, Sari M, Kotil S. Using a real-world network to model the trade-off between stay-at-home restriction, vaccination, social distancing and working hours on COVID-19 dynamics. PeerJ. 2022;10:e14353. doi:10.7717/peerj.14353","Nashebi R, Sari M, Kotil S.","agent-based model, transmission","investigate the effects of parameters like stay-at-home restrictions, work hours, vaccination, and social distancing on pandemic containment to assess the trade-offs between these factors and their impact on controlling the spread of COVID-19",Intervention Impact Assessment,Haslemere (England (UK)),,UK,General,SARS-CoV-2,MATLAB,469,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
81,37932281,Sci Rep,2023,Rotation-based schedules in elementary schools to prevent COVID-19 spread: a simulation study,10.1038/s41598-023-45788-8,"Brom C, Diviák T, Drbohlav J, et al. Rotation-based schedules in elementary schools to prevent COVID-19 spread: a simulation study. Sci Rep. 2023;13(1):19156. doi:10.1038/s41598-023-45788-8","Brom C, Diviák T, Drbohlav J, Korbel V, Levínský R, Neruda R, Kadlecová G, Šlerka J, Šmíd M, Trnka J, Vidnerová P.","infection,  transmission, epidemic, pandemic, simulation, model, agent-based model",To investigate the impact of different rotation and testing schedules on COVID-19 in schoolchildren,Intervention Impact Assessment,Prague (Czech Republic),,Czech Republic,University/School,SARS-CoV-2,Python,679,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
82,38862580,Sci Rep,2024,Agent-based modeling to estimate the impact of lockdown scenarios and events on a pandemic exemplified on SARS-CoV-2,10.1038/s41598-024-63795-1,"Nitzsche C, Simm S. Agent-based modeling to estimate the impact of lockdown scenarios and events on a pandemic exemplified on SARS-CoV-2. Sci Rep. 2024;14(1):13391. doi:10.1038/s41598-024-63795-1","Nitzsche C, Simm S.","infection, pandemic, simulate, simulations, agent-based modeling",To test the effectiveness of different mitigation measures in slowing the spread of SARS-CoV-2.,Intervention Impact Assessment,Germany,,Germany,General,SARS-CoV-2,Python,1.00E+05,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
83,33667173,JMIR Public Health Surveill,2021,Community and Campus COVID-19 Risk Uncertainty Under University Reopening Scenarios: Model-Based Analysis,10.2196/24292,"Benneyan J, Gehrke C, Ilies I, Nehls N. Community and Campus COVID-19 Risk Uncertainty Under University Reopening Scenarios: Model-Based Analysis. JMIR Public Health Surveill. 2021;7(4):e24292. doi:10.2196/24292","Benneyan J, Gehrke C, Ilies I, Nehls N.","disease, infections, epidemic, epidemic model, pandemic, model-based, model, agent-based models","To estimate the possible impact of COVID-19 exposure, infection, and mortality among the local and campus populations in the event of university reopening.",Intervention Impact Assessment,Boston (MA) (US),Massachusetts,US,University/School,SARS-CoV-2,Other/Unknown,110000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
84,32939349,MethodsX,2020,Influenza epidemic model using dynamic social networks of individuals with cognition maps,10.1016/j.mex.2020.101030,"López L, Fernández M, Giovanini L. Influenza epidemic model using dynamic social networks of individuals with cognition maps. MethodsX. 2020;7:101030. doi:10.1016/j.mex.2020.101030","López L, Fernández M, Giovanini L.","pathogens, disease, epidemic, model, modelled, individual-based model, cellular automata","To model the interactions between individual behaviour, social behaviour, and heath state in a hypothetical influenza outbreak",Intervention Impact Assessment,Geneva (Switzerland),,Switzerland,General,Influenza Virus,Other/Unknown,Unknown,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
85,33420154,Sci Rep,2021,Social distancing and epidemic resurgence in agent-based susceptible-infectious-recovered models,10.1038/s41598-020-80162-y,"Mukhamadiarov RI, Deng S, Serrao SR, et al. Social distancing and epidemic resurgence in agent-based susceptible-infectious-recovered models. Sci Rep. 2021;11(1):130. doi:10.1038/s41598-020-80162-y","Mukhamadiarov RI, Deng S, Serrao SR, Priyanka, Nandi R, Yao LH, Täuber UC.","infection, epidemic, models, simulations, agent-based, individual-based","To test the efficacy of proposed mitigation measures, as well as the timing and pace of their gradual and secure removal.",Understanding Epidemic Spread,Virginia Tech (US),Virginia,US,Theoretical,SARS-CoV-2,Other/Unknown,1.00E+05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,38281772,Biometrics,2024,Adaptive sequential surveillance with network and temporal dependence,10.1093/biomtc/ujad007,"Malenica I, Coyle JR, van der Laan MJ, Petersen ML. Adaptive sequential surveillance with network and temporal dependence. Biometrics. 2024;80(1):ujad007. doi:10.1093/biomtc/ujad007","Malenica I, Coyle JR, van der Laan MJ, Petersen ML.","disease, infection, transmission, epidemic, epidemics, pandemic, pandemics, model, models, agent-based simulation modelling",To determine the best testing strategy during different stages of an infectious outbreak,Intervention Impact Assessment,"University of California, Berkeley (US)",California,US,University/School,SARS-CoV-2,Other/Unknown,20000,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
87,34027734,Med Decis Making,2021,Evaluation of Contact-Tracing Policies against the Spread of SARS-CoV-2 in Austria: An Agent-Based Simulation,10.1177/0272989X211013306,"Bicher M, Rippinger C, Urach C, Brunmeir D, Siebert U, Popper N. Evaluation of Contact-Tracing Policies against the Spread of SARS-CoV-2 in Austria: An Agent-Based Simulation. Med Decis Making. 2021;41(8):1017-1032. doi:10.1177/0272989X211013306","Bicher M, Rippinger C, Urach C, Brunmeir D, Siebert U, Popper N.","disease, infection, epidemic, model, modeling, agent-based simulation",To quantify the impact of tracing on the containment of the disease and investigate the dynamic effects involved,"Understanding Epidemic Spread, Intervention Impact Assessment",Austria,,Austria,General,SARS-CoV-2,JAVA,Unknown,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
88,32692690,J Med Internet Res,2020,Multiple Epidemic Wave Model of the COVID-19 Pandemic: Modeling Study,10.2196/20912,"Kaxiras E, Neofotistos G. Multiple Epidemic Wave Model of the COVID-19 Pandemic: Modeling Study. J Med Internet Res. 2020;22(7):e20912. doi:10.2196/20912","Kaxiras E, Neofotistos G.","disease, infection, transmission, epidemic, pandemic, model, modelling, simulate, agent-based simulations",to simulate the effect of different social distancing interventions and investigate whether their timing and stringency can lead to multiple waves (sub epidemics),"Intervention Impact Assessment, Understanding Epidemic Spread",theoretical country; then 18 selected countries,,Theoretical,General,SARS-CoV-2,Other/Unknown,1.00E+06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
89,32866493,J Theor Biol,2020,"Predicting the second wave of COVID-19 in Washtenaw County, MI",10.1016/j.jtbi.2020.110461,"Renardy M, Eisenberg M, Kirschner D. Predicting the second wave of COVID-19 in Washtenaw County, MI. Journal of Theoretical Biology. 2020;507:110461. doi:10.1016/j.jtbi.2020.110461","Renardy M, Eisenberg M, Kirschner D.","disease, disease epidemics, epidemic, Epidemiology, pandemic, network-based modeling, Network-based model, model, simulate, simulations",To match the model to current Washtenaw COVID-19 datasets and then make predictions to guide reopening while minimizing a second wave of infections.,Intervention Impact Assessment,Washtenaw County (MI) (US),Michigan,US,General,SARS-CoV-2,MATLAB,366376,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
90,33430856,BMC Med,2021,Potential impact of individual exposure histories to endemic human coronaviruses on age-dependent severity of COVID-19,10.1186/s12916-020-01887-1,"Pinotti F, Wikramaratna PS, Obolski U, et al. Potential impact of individual exposure histories to endemic human coronaviruses on age-dependent severity of COVID-19. BMC Med. 2021;19(1):19. doi:10.1186/s12916-020-01887-1","Pinotti F, Wikramaratna PS, Obolski U, Paton RS, Damineli DSC, Alcantara LCJ, Giovanetti M, Gupta S, Lourenço J.","disease, infection, transmission, epidemiological, model, individual-based model",To explore the effect of pre-existing cellular and antibody responses to SARS-CoV-2 on the age distribution of COVID-19 severity,Understanding Epidemic Spread,the EU (UK) and EEA (Europe (UK)an Economic Area),,"Austria, Croatia, Cyprus, Estonia, Finland, Germany, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, UK",General,SARS-CoV-2,Other/Unknown,Unknown,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
91,35238437,Aust N Z J Public Health,2022,Modelling SARS-CoV-2 disease progression in Australia and New Zealand: an account of an agent-based approach to support public health decision-making,10.1111/1753-6405.13221,"Thompson J, McClure R, Blakely T, et al. Modelling SARS‐CoV‐2 disease progression in Australia and New Zealand: an account of an agent‐based approach to support public health decision‐making. Australian and New Zealand Journal of Public Health. 2022;46(3):292-303. doi:10.1111/1753-6405.13221","Thompson J, McClure R, Blakely T, Wilson N, Baker MG, Wijnands JS, De Sa TH, Nice K, Cruz C, Stevenson M.","disease, infection, transmission, modelling, agent-based model, agent-based, model",To support public health decision making for mitigating the spread of SARS-CoV-2 infections,"Intervention Impact Assessment, Understanding Epidemic Spread","Australia and New Zealand, the State of Victoria",,"Australia, New Zealand",General,SARS-CoV-2,Other/Unknown,2400,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
92,33878351,Prev Med,2021,"Multifaceted strategies for the control of COVID-19 outbreaks in long-term care facilities in Ontario, Canada",10.1016/j.ypmed.2021.106564,"Vilches TN, Nourbakhsh S, Zhang K, et al. Multifaceted strategies for the control of COVID-19 outbreaks in long-term care facilities in Ontario, Canada. Preventive Medicine. 2021;148:106564. doi:10.1016/j.ypmed.2021.106564","Vilches TN, Nourbakhsh S, Zhang K, Juden-Kelly L, Cipriano LE, Langley JM, Sah P, Galvani AP, Moghadas SM.","disease, infection, agent-based transmission model, pandemic, model, agent-based simulations ",To evaluate the effect of mitigation measures for limiting the spread of COVID-19 in long-term care facilities,"Intervention Impact Assessment, Understanding Epidemic Spread",Ontario (Canada),,Canada,Hospital or Healthcare Facility,SARS-CoV-2,Julia,188,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
93,35632707,Viruses,2022,Modelling the Impact of Mass Testing to Transition from Pandemic Mitigation to Endemic COVID-19,10.3390/v14050967,"Koo JR, Cook AR, Lim JT, Tan KW, Dickens BL. Modelling the Impact of Mass Testing to Transition from Pandemic Mitigation to Endemic COVID-19. Viruses. 2022;14(5):967. doi:10.3390/v14050967","Koo JR, Cook AR, Lim JT, Tan KW, Dickens BL.","infection, pandemic, modelling, agent-based model, model","To explore an alternate approach of applying routine rapid testing on a national scale, assessing whether it could reduce the epidemic peak during the period of October-December 2021.",Intervention Impact Assessment,Singapore,,Singapore,General,SARS-CoV-2,Other/Unknown,5500000,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
94,35410816,Vaccine,2022,Is annual vaccination best? A modelling study of influenza vaccination strategies in children,10.1016/j.vaccine.2022.03.065,"Ainslie KEC, Riley S. Is annual vaccination best? A modelling study of influenza vaccination strategies in children. Vaccine. 2022;40(21):2940-2948. doi:10.1016/j.vaccine.2022.03.065","Ainslie KEC, Riley S.","disease, infection, infection model, epidemics, modeling, individual-based model, model,  simulate, simulations, individual-based",To explore how various factors impact childhood vaccination program performance; to assess the impact of repeated vaccination strategies on childhood infections,Intervention Impact Assessment,United Kingdom (UK),,UK,General,Influenza Virus,R,30000,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
95,38509526,BMC Public Health,2024,How individuals' opinions influence society's resistance to epidemics: an agent-based model approach,10.1186/s12889-024-18310-6,"Yu G, Garee M, Ventresca M, Yih Y. How individuals’ opinions influence society’s resistance to epidemics: an agent-based model approach. BMC Public Health. 2024;24(1):863. doi:10.1186/s12889-024-18310-6","Yu G, Garee M, Ventresca M, Yih Y.","disease, infection, epidemics, epidemic model, epidemic, agent-based models, pandemic, model, models, agent-based simulation, simulation model, simulates  ",To examine how varying conditions in opinion dynamics can influence the coevolving disease dynamics and public health,Behavioral Influence on Spread,"15 countries: Australia, Canada, Denmark, France, Germany, Italy, Japan, Netherlands, Norway, Singapore, Spain, Sweden, the UK, the US, and Vietnam.",,"Australia, Canada, Denmark, France, Germany, Italy, Japan, Netherlands, Norway, Singapore, Spain, Sweden, UK, US, Vietnam",General,SARS-CoV-2,Other/Unknown,50000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
96,38129789,BMC Infect Dis,2023,Evaluating pooled testing for asymptomatic screening of healthcare workers in hospitals,10.1186/s12879-023-08881-x,"Heath B, Evans S, Robertson DS, Robotham JV, Villar SS, Presanis AM. Evaluating pooled testing for asymptomatic screening of healthcare workers in hospitals. BMC Infect Dis. 2023;23(1):900. doi:10.1186/s12879-023-08881-x","Heath B, Evans S, Robertson DS, Robotham JV, Villar SS, Presanis AM.","infection, transmission, pandemic, individual-based model, modelling, simulation, ",To evaluate two different pooled testing schemes for asymptomatic testing of SARS-CoV-2,Intervention Impact Assessment,England (UK),,UK,Hospital or Healthcare Facility,SARS-CoV-2,Other/Unknown,9000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
97,35719665,Front Public Health,2022,"Combinational Recommendation of Vaccinations, Mask-Wearing, and Home-Quarantine to Control Influenza in Megacities: An Agent-Based Modeling Study With Large-Scale Trajectory Data",10.3389/fpubh.2022.883624,"Zhang H, Yin L, Mao L, et al. Combinational Recommendation of Vaccinations, Mask-Wearing, and Home-Quarantine to Control Influenza in Megacities: An Agent-Based Modeling Study With Large-Scale Trajectory Data. Front Public Health. 2022;10:883624. doi:10.3389/fpubh.2022.883624","Zhang H, Yin L, Mao L, Mei S, Chen T, Liu K, Feng S.","disease, infection, transmission, transmission model, epidemic, pandemic,  model, agent-based model, agent-based modeling, agent-based",to simulate the influenza transmission between million of individuals in a typical megacity and evaluate the efficacy of different mitigation measures,Intervention Impact Assessment,Shenzhen city (China),,China,General,Influenza Virus,Other/Unknown,1.00E+07,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
98,32315318,PLoS One,2020,Stochastic modeling of influenza spread dynamics with recurrences,10.1371/journal.pone.0231521,"Whitman J, Jayaprakash C. Stochastic modeling of influenza spread dynamics with recurrences. d’Onofrio A, ed. PLoS ONE. 2020;15(4):e0231521. doi:10.1371/journal.pone.0231521","Whitman J, Jayaprakash C.","modeling, infection, transmissibility, model, agent-based model,  simulating, simulations, epidemiological",To investigate the effect of connections between members of a population and the strength of the immune profile of individuals due to immunization on the spread of influenza.,"Understanding Epidemic Spread, Intervention Impact Assessment",Columbus (Ohio) (US),Ohio,US,General,Influenza Virus,C Family,20000,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
99,38852547,Epidemics,2024,Agent-based modeling of the COVID-19 pandemic in Florida,10.1016/j.epidem.2024.100774,"Pillai AN, Toh KB, Perdomo D, et al. Agent-based modeling of the COVID-19 pandemic in Florida. Epidemics. 2024;47:100774. doi:10.1016/j.epidem.2024.100774","Pillai AN, Toh KB, Perdomo D, Bhargava S, Stoltzfus A, Longini IM Jr, Pearson CAB, Hladish TJ.","disease, pandemic, models, modeled, modelers, agent-based modeling, agent-based models",To describe the evolution of the ABM designed for the FDOH during the COVID-19 pandemic,Intervention Impact Assessment,Florida (US),Florida,US,General,SARS-CoV-2,Other/Unknown,20500000,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
100,35394833,Sci Adv,2022,COVID-19 in low-tolerance border quarantine systems: Impact of the Delta variant of SARS-CoV-2,10.1126/sciadv.abm3624,"Zachreson C, Shearer FM, Price DJ, et al. COVID-19 in low-tolerance border quarantine systems: Impact of the Delta variant of SARS-CoV-2. Sci Adv. 2022;8(14):eabm3624. doi:10.1126/sciadv.abm3624","Zachreson C, Shearer FM, Price DJ, Lydeamore MJ, McVernon J, McCaw J, Geard N.","pathogen, disease, transmission, epidemics, model, individual-based model, simulate",To evaluate the efficacy of border quarantine systems; to estimate reduction in transmission risk.,"Intervention Impact Assessment, Understanding Epidemic Spread",Australia and New Zealand,,"Australia, New Zealand",Hospital or Healthcare Facility,SARS-CoV-2,Other/Unknown,120,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
101,35858689,BMJ,2022,Burden of SARS-CoV-2 infection in healthcare workers during second wave in England and impact of vaccines: prospective multicentre cohort study (SIREN) and mathematical model,10.1136/bmj-2022-070379,"Pople D, Monk EJM, Evans S, et al. Burden of SARS-CoV-2 infection in healthcare workers during second wave in England and impact of vaccines: prospective multicentre cohort study (SIREN) and mathematical model. BMJ. Published online July 20, 2022:e070379. doi:10.1136/bmj-2022-070379","Pople D, Monk EJM, Evans S, Foulkes S, Islam J, Wellington E, Atti A, Hope R, Robotham J, Hopkins S, Brown CS, Hall VJ; SIREN Study Group.","infection, transmission, pandemic, model, model simulations, individual-based","To describe the incidence of, risk factor for, and impact of vaccine on primary SARS-CoV-2 infection during the second wave of the covid-19 pandemic in susceptible hospital healthcare workers in England",Intervention Impact Assessment,England (UK),,UK,Hospital or Healthcare Facility,SARS-CoV-2,JAVA,9000,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
